TICKER,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP
CERN,Software,Technology,Medical Information Sys
CSRA,Computers,Technology,Computer Services
INFO,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance
STZ,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits
WHR,Home Furnishings,"Consumer, Cyclical",Appliances
GM,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks
PH,Miscellaneous Manufactur,Industrial,Diversified Manufact Op
CSX,Transportation,Industrial,Transport-Rail
IPG,Advertising,Communications,Advertising Agencies
X,Iron/Steel,Basic Materials,Steel-Producers
XRAY,Healthcare-Products,"Consumer, Non-cyclical",Dental Supplies&Equip
ODP,Retail,"Consumer, Cyclical",Retail-Office Supplies
ADSK,Software,Technology,Computer Aided Design
AXP,Diversified Finan Serv,Financial,Finance-Credit Card
RIG,Oil&Gas,Energy,Oil&Gas Drilling
FISV,Software,Technology,Data Processing/Mgmt
DOV,Miscellaneous Manufactur,Industrial,Diversified Manufact Op
PCP,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica
ALLE,Electronics,Industrial,Electronic Secur Devices
FTI,Oil&Gas Services,Energy,Oil-Field Services
PGR,Insurance,Financial,Property/Casualty Ins
TXN,Semiconductors,Technology,Electronic Compo-Semicon
TMO,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment
AWK,Water,Utilities,Water
EOG,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
EKDKQ,Office/Business Equip,Technology,Office Automation&Equip
DUK,Electric,Utilities,Electric-Integrated
EP,Pipelines,Energy,Pipelines
MAC,REITS,Financial,REITS-Regional Malls
BDK,Hand/Machine Tools,Industrial,Tools-Hand Held
MDT,Healthcare-Products,"Consumer, Non-cyclical",Medical Instruments
PRU,Insurance,Financial,Life/Health Insurance
CFG,Banks,Financial,Commer Banks-Eastern US
NDAQ,Diversified Finan Serv,Financial,Finance-Other Services
R,Transportation,Industrial,Transport-Services
TROW,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
TRIP,Internet,Communications,E-Commerce/Services
M,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store
ADI,Semiconductors,Technology,Semicon Compo-Intg Circu
CTL,Telecommunications,Communications,Telephone-Integrated
ES,Electric,Utilities,Electric-Integrated
PM,Agriculture,"Consumer, Non-cyclical",Tobacco
AKAM,Software,Technology,Computer Software
SBAC,REITS,Financial,REITS-Diversified
NBR,Oil&Gas,Energy,Oil&Gas Drilling
ALGN,Healthcare-Products,"Consumer, Non-cyclical",Dental Supplies&Equip
HOT,Lodging,"Consumer, Cyclical",Hotels&Motels
FCX,Mining,Basic Materials,Metal-Copper
MKC,Food,"Consumer, Non-cyclical",Food-Misc/Diversified
HST,REITS,Financial,REITS-Hotels
DVA,Healthcare-Services,"Consumer, Non-cyclical",Dialysis Centers
AYI,Electrical Compo&Equip,Industrial,Lighting Products&Sys
CVC,Media,Communications,Cable/Satellite TV
CARS,Internet,Communications,E-Commerce/Services
HSY,Food,"Consumer, Non-cyclical",Food-Confectionery
TJX,Retail,"Consumer, Cyclical",Retail-Major Dept Store
TIE,Mining,Basic Materials,Non-Ferrous Metals
COST,Retail,"Consumer, Cyclical",Retail-Discount
CTSH,Computers,Technology,Computer Services
NEM,Mining,Basic Materials,Gold Mining
TGT,Retail,"Consumer, Cyclical",Retail-Discount
DELL,Computers,Technology,Computers
CEPH,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
KLAC,Semiconductors,Technology,Semiconductor Equipment
TSS,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance
RJF,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr
ANRZQ,Coal,Energy,Coal
CVX,Oil&Gas,Energy,Oil Comp-Integrated
PFG,Insurance,Financial,Life/Health Insurance
NOC,Aerospace/Defense,Industrial,Aerospace/Defense
EXPE,Internet,Communications,E-Commerce/Services
AMG,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
QLGC,Semiconductors,Technology,Electronic Compo-Semicon
TER,Semiconductors,Technology,Semiconductor Equipment
SBUX,Retail,"Consumer, Cyclical",Retail-Restaurants
JPM,Banks,Financial,Diversified Banking Inst
VRSK,Commercial Services,"Consumer, Non-cyclical",Consulting Services
D,Electric,Utilities,Electric-Integrated
WFC,Banks,Financial,Super-Regional Banks-US
HBI,Apparel,"Consumer, Cyclical",Apparel Manufacturers
WMB,Pipelines,Energy,Pipelines
DHR,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment
CLX,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc
QCP,REITS,Financial,REITS-Health Care
PCAR,Auto Manufacturers,"Consumer, Cyclical",Auto-Med&Heavy Duty Trks
RAI,Agriculture,"Consumer, Non-cyclical",Tobacco
HNZ,Food,"Consumer, Non-cyclical",Food-Misc/Diversified
AIG,Insurance,Financial,Multi-line Insurance
KG,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
MMC,Insurance,Financial,Insurance Brokers
SLG,REITS,Financial,REITS-Office Property
MNK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
HRS,Aerospace/Defense,Industrial,Aerospace/Defense-Equip
LLL,Aerospace/Defense,Industrial,Aerospace/Defense-Equip
DNB,Software,Technology,Data Processing/Mgmt
EXC,Electric,Utilities,Electric-Integrated
OXY,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
ED,Electric,Utilities,Electric-Integrated
BIIB,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
CNX,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
WAT,Electronics,Industrial,Instruments-Scientific
FBHS,Building Materials,Industrial,Bldg&Construct Prod-Misc
IFF,Chemicals,Basic Materials,Chemicals-Specialty
COTY,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries
SYF,Diversified Finan Serv,Financial,Finance-Consumer Loans
ALL,Insurance,Financial,Multi-line Insurance
ESV,Oil&Gas,Energy,Oil&Gas Drilling
ZTS,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
SO,Electric,Utilities,Electric-Integrated
MON,Chemicals,Basic Materials,Agricultural Chemicals
BEN,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
MPC,Oil&Gas,Energy,Oil Refining&Marketing
SCHW,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr
SHLD,Retail,"Consumer, Cyclical",Retail-Major Dept Store
ACN,Computers,Technology,Computer Services
PCL,REITS,Financial,REITS-Diversified
SNI,Media,Communications,Broadcast Serv/Program
MMM,Miscellaneous Manufactur,Industrial,Diversified Manufact Op
TEL,Electronics,Industrial,Electronic Connectors
MAA,REITS,Financial,REITS-Apartments
AMT,REITS,Financial,REITS-Diversified
GNW,Insurance,Financial,Multi-line Insurance
LXK,Office/Business Equip,Technology,Office Automation&Equip
DE,Machinery-Diversified,Industrial,Machinery-Farm
DG,Retail,"Consumer, Cyclical",Retail-Discount
AIV,REITS,Financial,REITS-Apartments
HOLX,Healthcare-Products,"Consumer, Non-cyclical",Medical Products
FAST,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale
TMUS,Telecommunications,Communications,Cellular Telecom
SHW,Chemicals,Basic Materials,Coatings/Paint
GD,Aerospace/Defense,Industrial,Aerospace/Defense
WYNN,Lodging,"Consumer, Cyclical",Casino Hotels
CAH,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Whsle Drug Dist
DO,Oil&Gas,Energy,Oil&Gas Drilling
AET,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO
HSH,Food,"Consumer, Non-cyclical",Food-Meat Products
BAX,Healthcare-Products,"Consumer, Non-cyclical",Medical Products
SLM,Diversified Finan Serv,Financial,Finance-Consumer Loans
FLR,Engineering&Construction,Industrial,Engineering/R&D Services
RHT,Software,Technology,Applications Software
RSG,Environmental Control,Industrial,Non-hazardous Waste Disp
INCY,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
PNC,Banks,Financial,Super-Regional Banks-US
TPR,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe
PEG,Electric,Utilities,Electric-Integrated
USB,Banks,Financial,Super-Regional Banks-US
IQV,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv
EQR,REITS,Financial,REITS-Apartments
NOVL,Software,Technology,Enterprise Software/Serv
VFC,Apparel,"Consumer, Cyclical",Apparel Manufacturers
HAL,Oil&Gas Services,Energy,Oil-Field Services
CAM,Oil&Gas Services,Energy,Oil Field Mach&Equip
AAL,Airlines,"Consumer, Cyclical",Airlines
KIM,REITS,Financial,REITS-Shopping Centers
WEC,Electric,Utilities,Electric-Integrated
WM,Environmental Control,Industrial,Non-hazardous Waste Disp
KSS,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store
VAR,Healthcare-Products,"Consumer, Non-cyclical",Medical Products
IVZ,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
PEP,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic
BLK,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
CTXS,Software,Technology,Computer Software
AA,Mining,Basic Materials,Metal-Aluminum
AME,Electrical Compo&Equip,Industrial,Electric Products-Misc
ROST,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe
CRM,Software,Technology,Applications Software
AEE,Electric,Utilities,Electric-Integrated
TDG,Aerospace/Defense,Industrial,Aerospace/Defense
RDC,Oil&Gas,Energy,Oil&Gas Drilling
AVB,REITS,Financial,REITS-Apartments
PVH,Apparel,"Consumer, Cyclical",Apparel Manufacturers
JBHT,Transportation,Industrial,Transport-Truck
SWK,Hand/Machine Tools,Industrial,Tools-Hand Held
LEN/B,,,
WU,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance
JNS,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
MCK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Whsle Drug Dist
KR,Food,"Consumer, Non-cyclical",Food-Retail
